input,cores,chunk_size,run1s1,run1s2,run1e1,run1e2,run2s1,run2s2,run2e1,run2e2,run3s1,run3s2,run3e1,run3e2,run4s1,run4s2,run4e1,run4e2,run5s1,run5s2,run5e1,run5e2
15000,28,1024,0.895189,0.913780,5.135528,5.129216,0.930615,0.875332,5.129008,5.128513,0.923336,0.876163,5.134759,5.128514,0.895096,0.826199,5.130897,5.129524,0.906472,0.895215,5.129731,5.128980
15000,28,2048,1.627666,1.583454,5.143754,5.129382,1.724957,1.594114,5.129531,5.129577,1.641148,1.557884,5.129132,5.129752,1.711871,1.564811,5.128771,5.129138,1.568682,1.619786,5.129150,5.129120
15000,28,4096,2.351813,2.351407,5.130371,5.131441,2.366090,2.348072,5.144894,5.129110,2.503619,2.339426,5.142607,5.129513,2.398888,2.391317,5.129213,5.129242,2.370541,2.373320,5.129201,5.129419
15000,32,1,0.298228,0.236625,5.128206,5.129934,0.235188,0.236567,5.133582,5.129342,0.539833,0.232217,5.128085,5.129071,0.250640,0.234577,5.129180,5.129098,0.360401,0.231020,5.128723,5.129110
15000,32,10,0.239483,0.239814,5.140531,5.128887,0.290314,0.237804,5.129173,5.148525,0.249324,0.233804,5.147561,5.128083,0.301047,0.233865,5.128047,5.147037,0.231020,0.236207,5.129171,5.129033
15000,32,16,0.316884,0.256252,5.127936,5.129384,0.248372,0.231903,5.128829,5.129178,0.326520,0.250099,5.127879,5.128943,0.254493,0.238663,5.128913,5.134844,0.393954,0.242227,5.127439,5.133597
15000,32,32,0.249552,0.248702,5.129163,5.128811,0.284522,0.248798,5.130421,5.133589,0.250254,0.253225,5.129015,5.128694,0.320296,0.249408,5.128412,5.142447,0.254434,0.248979,5.142191,5.128310
15000,32,64,0.314341,0.267415,5.129825,5.143862,0.258910,0.258921,5.143994,5.128768,0.351429,0.262407,5.127690,5.178149,0.264931,0.257892,5.133976,5.129258,0.310645,0.272995,5.127945,5.144759
15000,32,128,0.295940,0.368203,5.128848,5.128861,0.290808,0.419547,5.128788,5.128655,0.299702,0.361812,5.128351,5.133534,0.292251,0.393358,5.129059,5.143123,0.298879,0.338095,5.128976,5.144675
15000,32,256,0.377359,0.405225,5.128823,5.141888,0.369028,0.426383,5.143510,5.143755,0.360551,0.418378,5.128473,5.129180,0.354939,0.439922,5.128974,5.142450,0.349450,0.430003,5.129300,5.129094
15000,32,512,0.472995,0.624217,5.128393,5.129312,0.499253,0.639631,5.129580,5.128666,0.469516,0.566453,5.128467,5.128925,0.476424,0.653435,5.129308,5.128940,0.460840,0.551268,5.128759,5.142425
15000,32,1024,0.864178,0.977430,5.128953,5.128950,0.845538,1.029523,5.128030,5.128821,0.864577,0.895681,5.128774,5.128907,0.839423,0.961503,5.128364,5.188216,0.819570,0.964583,5.129997,5.128722
15000,32,2048,1.571337,1.580054,5.128973,5.129374,1.592597,1.624679,5.129088,5.129594,1.629263,1.557445,5.139613,5.128928,1.747228,1.553329,5.129137,5.128524,1.771664,1.600553,5.128921,5.129801
15000,32,4096,2.355068,2.360062,5.129397,5.129112,2.632725,2.351047,5.129187,5.129475,2.454349,2.342949,5.128894,5.129038,2.471733,2.371950,5.128695,5.129006,2.581069,2.351553,5.129012,5.133698
15000,36,1,0.263109,0.241133,5.127969,5.127602,0.273659,0.235765,5.127943,5.128035,0.256641,0.228011,5.127953,5.128988,0.252037,0.231147,5.129368,5.127812,0.274089,0.242364,5.127684,5.128012
15000,36,10,0.251988,0.241672,5.127383,5.127825,0.273391,0.238073,5.127595,5.127607,0.248966,0.265705,5.127726,5.143040,0.257831,0.241209,5.127654,5.127975,0.289806,0.254204,5.128325,5.127850
15000,36,16,0.264285,0.249504,5.127979,5.127922,0.260939,0.248449,5.127522,5.128530,0.253382,0.243304,5.128905,5.128413,0.279854,0.240794,5.127555,5.128168,0.260044,0.251950,5.127834,5.127640
15000,36,32,0.267739,0.253857,5.127829,5.128881,0.256190,0.255211,5.142710,5.127622,0.280501,0.258648,5.127766,5.127833,0.268323,0.257701,5.127846,5.127819,0.261030,0.279586,5.128444,5.129023
15000,36,64,0.257732,0.302996,5.127600,5.135948,0.254079,0.264830,5.129903,5.127301,0.263056,0.276400,5.128087,5.127624,0.264683,0.271959,5.127858,5.128402,0.276269,0.264725,5.128164,5.127778
15000,36,128,0.330120,0.305665,5.129088,5.128105,0.307285,0.310361,5.128733,5.127466,0.322375,0.301894,5.129255,5.127801,0.302232,0.310458,5.127753,5.127846,0.326747,0.310483,5.129409,5.127446
15000,36,256,0.395976,0.381465,5.127584,5.127737,0.418798,0.389763,5.130206,5.127355,0.364108,0.379788,5.133831,5.127685,0.382296,0.358502,5.127410,5.139727,0.375112,0.381239,5.132724,5.127779
15000,36,512,0.521577,0.514998,5.127455,5.127782,0.536726,0.518249,5.128024,5.127973,0.524090,0.559617,5.127830,5.128629,0.531838,0.510345,5.127899,5.128288,0.508101,0.514205,5.127839,5.127760
