input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
30000,32,512,14.68,56.15,19.44,56.86,0.96,55.12,0.96,58.86,0.95,56.29
30000,32,1024,0.95,54.98,21.05,56.28,0.94,58.30,0.94,57.95,0.94,57.66
30000,32,2048,0.95,56.75,0.93,57.96,0.95,57.44,0.96,57.43,0.95,58.46
30000,32,4096,0.95,55.35,0.93,54.18,17.53,53.39,0.94,57.68,0.94,59.10
30000,36,1,19.00,776.61,20.08,813.45,20.68,776.88,19.47,833.74,20.45,860.17
30000,36,10,5.34,119.15,0.94,115.34,0.95,109.92,0.93,110.95,0.92,117.90
30000,36,16,0.93,88.82,0.93,91.11,0.94,91.06,0.95,91.88,20.98,91.98
30000,36,32,0.93,77.75,21.42,76.19,0.94,78.08,0.94,77.81,0.93,78.61
30000,36,64,21.54,74.75,0.91,75.49,0.92,76.16,16.17,74.39,6.82,73.89
30000,36,128,0.94,74.56,0.94,69.66,21.31,73.06,20.64,74.71,20.77,72.55
30000,36,256,0.92,72.64,21.46,72.38,21.56,73.15,21.28,72.62,10.63,72.02
30000,36,512,3.04,72.40,17.24,72.33,20.10,69.53,18.29,72.93,0.97,73.13
30000,36,1024,0.93,72.60,20.52,72.30,19.14,71.62,1.00,71.98,0.94,72.21
30000,36,2048,0.92,70.08,17.48,71.38,19.08,72.33,17.52,68.55,0.91,71.59
30000,36,4096,0.90,70.85,0.93,73.18,0.92,72.27,0.91,70.61,0.92,70.34
30000,40,1,19.69,1001.08,18.96,859.10,20.44,773.58,19.30,933.09,20.21,1013.84
30000,40,10,0.87,127.76,0.88,125.39,0.87,129.04,0.87,128.02,0.87,125.60
30000,40,16,0.86,104.61,0.85,104.74,0.87,103.37,0.86,104.61,0.85,104.88
30000,40,32,0.84,87.81,0.87,90.41,0.85,85.51,0.87,89.83,0.87,89.04
30000,40,64,0.84,86.98,19.02,86.14,0.86,88.13,0.86,86.12,20.51,86.75
30000,40,128,0.87,84.93,0.85,77.68,21.01,83.98,0.85,83.72,21.62,82.30
30000,40,256,14.86,83.52,0.87,82.05,0.85,82.84,0.87,76.42,0.86,81.67
30000,40,512,21.31,84.25,0.86,81.72,0.84,82.25,9.59,80.93,18.65,82.86
30000,40,1024,0.88,77.83,19.77,81.84,0.86,82.36,0.85,81.53,21.08,82.65
30000,40,2048,17.51,72.64,6.37,82.79,0.86,82.30,17.45,83.23,0.86,76.68
30000,40,4096,0.87,83.32,0.86,84.45,0.86,84.85,5.72,82.87,13.59,82.85
30000,44,1,19.11,908.49,19.90,968.44,16.70,953.79,19.44,970.73,19.13,1003.14
30000,44,10,0.80,136.29,0.80,132.75,0.83,135.58,0.78,136.67,19.16,136.94
30000,44,16,0.82,112.15,0.80,111.72,0.77,112.64,0.80,112.17,0.79,112.80
30000,44,32,20.19,96.02,0.76,97.53,18.77,97.11,0.79,98.05,0.80,97.35
30000,44,64,0.80,92.44,0.81,94.08,0.78,93.80,21.64,95.67,21.08,92.03
30000,44,128,19.48,82.67,20.93,89.25,0.82,88.89,0.79,90.08,0.80,92.17
30000,44,256,0.78,87.60,0.79,86.59,0.82,86.80,0.80,88.30,21.70,90.28
30000,44,512,0.81,90.35,21.37,90.41,0.81,89.46,20.48,90.21,0.80,84.21
30000,44,1024,18.25,89.81,0.81,89.35,18.35,85.70,19.75,87.77,21.06,89.05
30000,44,2048,0.81,91.41,5.91,85.48,17.19,91.53,0.80,89.18,0.81,91.00
30000,44,4096,0.82,88.06,0.79,91.59,17.48,90.35,13.58,90.62,0.80,89.21
30000,48,1,18.27,1006.69,16.35,1047.05,18.60,1027.99,19.68,1105.72,18.16,1097.33
30000,48,10,0.71,144.60,0.71,145.02,0.72,143.55,0.73,141.57,0.72,146.36
30000,48,16,0.72,120.84,0.72,121.10,1.03,119.36,0.73,120.65,0.74,120.43
30000,48,32,0.71,105.98,17.43,107.82,14.52,106.89,0.72,109.46,0.75,106.84
30000,48,64,0.71,102.93,0.72,101.42,0.72,102.98,21.17,103.01,20.12,103.65
30000,48,128,0.72,100.20,21.45,99.35,0.73,101.07,22.70,97.32,21.24,100.26
30000,48,256,0.71,98.76,21.61,98.05,0.71,96.95,21.08,97.26,18.99,97.27
30000,48,512,0.72,95.80,0.75,98.92,22.73,96.76,0.73,97.43,0.73,95.28
30000,48,1024,0.71,97.95,0.71,98.44,19.79,99.01,18.27,98.42,0.72,94.97
30000,48,2048,0.70,98.50,0.74,97.71,0.71,99.14,0.72,96.19,0.73,97.95
30000,48,4096,0.71,98.44,17.53,96.04,0.72,94.92,0.71,97.23,0.74,99.83
30000,52,1,20.85,909.12,18.17,927.54,19.75,959.90,17.55,1098.54,17.48,946.81
30000,52,10,0.66,150.34,0.65,150.29,0.66,152.34,0.67,149.90,0.66,151.13
30000,52,16,7.35,129.89,0.67,129.39,0.66,129.93,0.66,129.72,0.67,130.83
